,Review Id,Content,ID
46,2,looks original proper pinpacked,5
47,3,"The Product is original and branded, The quality is best. Thanks Daraz.",5
48,4,"Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)",5
49,5,looks original proper pinpacked,5
50,6,"The Product is original and branded, The quality is best. Thanks Daraz.",5
51,7,"I had an amazing experience with this store! The customer service was top-notch, and the product exceeded my expectations. I highly recommend them to anyone looking for quality products and excellent service.",5
52,8,seller didn't mark stamp on warranty card . when its warranty has started and when to end? how to claim its warranty if any issue happens but product received new and boxed pack.,5
53,9,"The product was delivered same as per it's description, Item was Delivered in given time. excellent 💯 product in this price. Thanks to Seller Tecno and Thanks to Draz.",5
54,10,Mobile received before delivery time and in ordered color. Very happy to received pin pack original product. Thanks seller and of course Daraz.,5
55,11,Great Phone for the price. The packaging was great and the phone was sealed Thank you to the seller and also daraz for the 3k discount voucher highly recommend this seller and Tecno canon 20 I'm a bit sad i missed my chance to get the black colour but overall 9.8/10,5
56,12,"Mobile received 2 days before delivery date. Mobile has all accessories. Mobile is looking good. But the warranty card has no information about Mobile (like IMEI number, purchase date, etc.)",5
57,13,Outstading in this price also availed voucher as well ❤️❤️❤️ Best Phone Thanks Daraz you proved it,5
58,14,vip service vip product same as shown 💯 orignal,5
59,15,Latest Tecno Flagship phone The Camon 20. Everything of this phone is awesome and i hope my nephew will enjoy alot with this device. very satisfied. i bought this from Daraz Mall Tecno Flagship Store. totally Recommended,5
60,1,پن پیک فون ہے۔ جو لوگ کہتے ہیں کہ ڈبے میں کچھ چیزیں کم ہیں ۔ تو شائد اس کی وجہ یہ ہے کہ یہ ماڈل چائنہ اسمبل ہے ۔ باقی اللہ بہتر جانتا ہے۔,6
61,2,"It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz...",6
62,3,mobile is pta aproved. moible is very good. this mobile was only available on daraz. in market it is not available .the crated goes to daraz. i bought it on 38919 rupess. 8 128 i hope it is a good price,6
63,4,"It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz...",6
64,5,mobile is pta aproved. moible is very good. this mobile was only available on daraz. in market it is not available .the crated goes to daraz. i bought it on 38919 rupess. 8 128 i hope it is a good price,6
65,6,The product was same as was expected. Although delivery got very late but wait was worth it. Mobile was pin packed and PTA approved.Thanks a lot,6
66,7,i have received my phone in time new and original condition best seller best service thank you daraz for best services!,6
67,8,"origional product. pta approved hai, non activated phone tha. sim dal k active kiya warranty 1 year activate hui ha. at first i was worried by reading some negative comments but origional product rcvd. 5 stars to seller .",6
68,9,I have received original product and I would like to purchase anything anytime with the seller again,6
